Community_Area,Tree_Canopy_Percentage,Heat_Island_Effect
Albany Park,24.0,62.9
Archer Heights,8.0,89.7
Armour Square,13.0,72.7
Ashburn,15.0,91.9
Auburn Gresham,19.0,78.9
Austin,19.0,81.3
Avalon Park,22.0,69.8
Avondale,16.0,84.5
Belmont Cragin,15.0,95.8
Beverly,41.0,67.9
Bridgeport,13.0,80.0
Brighton Park,12.0,90.4
Burnside,24.0,73.8
Calumet Heights,20.0,71.0
Chatham,20.0,75.1
Chicago Lawn,19.0,92.0
Clearing,9.0,87.1
Douglas,22.0,56.3
Dunning,19.0,77.2
East Garfield Park,18.0,67.5
East Side,15.0,43.7
Edgewater,26.0,31.9
Edison Park,23.0,71.2
Englewood,25.0,62.1
Forest Glen,44.0,56.5
Fuller Park,12.0,72.7
Gage Park,15.0,97.3
Garfield Ridge,12.0,65.8
Grand Boulevard,17.0,61.4
Greater Grand Crossing,21.0,63.4
Hegewisch,18.0,33.0
Hermosa,17.0,93.4
Humboldt Park,17.0,83.4
Hyde Park,27.0,33.6
Irving Park,25.0,79.0
Jefferson Park,22.0,82.6
Kenwood,28.0,37.4
Lake View,24.0,50.9
Lincoln Park,26.0,50.8
Logan Square,20.0,79.4
Loop,17.0,35.7
Lower West Side,11.0,82.5
McKinley Park,15.0,81.7
Montclare,19.0,92.8
Morgan Park,28.0,62.9
Mount Greenwood,19.0,75.9
Near North Side,18.0,41.9
Near South Side,15.0,46.4
Near West Side,15.0,72.1
New City,16.0,86.8
North Center,24.0,72.8
North Lawndale,18.0,77.8
North Park,33.0,51.8
Norwood Park,22.0,69.8
O'Hare,14.0,53.1
Oakland,18.0,34.5
Portage Park,19.0,91.2
Pullman,19.0,63.2
Riverdale,23.0,39.0
Rogers Park,27.0,31.0
Roseland,22.0,72.7
South Chicago,19.0,54.7
South Deering,14.0,45.8
South Lawndale,15.0,85.8
South Shore,23.0,41.5
Uptown,24.0,33.2
Washington Heights,21.0,71.6
Washington Park,22.0,55.0
West Elsdon,13.0,93.9
West Englewood,26.0,80.0
West Garfield Park,18.0,75.4
West Lawn,11.0,94.9
West Pullman,26.0,60.1
West Ridge,26.0,56.3
West Town,20.0,70.3
Woodlawn,22.0,46.1